
Frequency	# of Samples Observed In
fda4b19d69c92d8dfd095ba855ef010c	322,729	176
0ae781e478d509b6cc4a0bf7915d6416	204,880	153
20c1ca3f26def418775996c8bfcdcade	105,890	102
d3d72523e1cae4676ab88c2c32ef5ea9	102,385	140
9fe632617ad55b4e41611c632005cef9	64,617	63
8dc034b612508c2909285faa2d5d8756	64,443	100
07864531ea3e3a53044eae424673d841	28,363	95
b3f8c6472d7e0255039590777620be33	21,025	84
d40b6cb1695f68f0f4d2e640754aef0e	16,535	60
7a18100bd8cbee1e089dfb8243abb93b	12,871	47
93e916005059ad4ddf50a49707113752	12,569	3
f326dcaab4d4f73811ae8544a692864b	12,284	34
eaff357d65f9d35041fb44754b33f25c	11,508	48
e80049b6ebd5dfe0c8c1430e92279b04	10,808	26
fd0d048477a984a5c512632dbcb56e3c	10,550	37
eff8fa4170cd82316b8d55ffebe5753d	7,541	26
336e0d31bd6d6aa64804f50f76260a97	7,485	24
f8bd7ba58dff0dec90ea36f6766a10d9	6,927	18
7225f6f20d9d475be609a46dccd3f192	6,709	16
e1cae9c49ea293afd857aec7e830cfb8	6,303	13
cd0d0c5a3b6ce484cf14b4a12a46431c	6,102	1
eff1804993f73d1e9e481b67e51989da	6,045	28
6575036a4834f299fe532282c62774bf	5,724	1
1a50c4e07aee674a74cdcc5f21c15187	5,468	24
f5c0be4405a6ab20eaebd062af1b68d4	5,276	46
c05269015566c5cf1eae071c9a7b2f0a	5,234	10
cdaaeff9f1586095cbec99356755123d	4,092	13
312bc45d35c5822db299f5e2084500b3	4,019	1
749551c3e3de85d6483a3c458e133749	3,753	1
fcc81f11007a9070a918e68315085d00	3,513	3
6f5376d5441ed5b596636374368006a7	3,377	35
f7f26916f5c40660561edf1d2ea80953	2,912	7
6cf5bba0274703fd083ad9c6f9ca6a8a	2,905	5
5d0aad39cdc8a7729eb66fe1df71d22e	2,800	16
c86a5dcf4d645e1dc5e960f52a92902f	2,790	1
6bff4880ba50f79605b9a702c95ba9d1	2,628	3
93d1044208f320616d7f21fb6fd2aa39	2,476	6
b1b4e53e4fd3a63252043679fb000c8f	2,377	11
46351a57343bf603ee297517d68b7121	2,284	1
beed5e04e04418d7e8b1f601cfd34c66	2,256	27
b014d4f2ed1eada9d8dbb7a7d5916756	2,111	2
e7f971aa9af4eaea396d97f45fbda455	2,024	6
38783f727e4360e5cb4f5eac5a7411ed	1,954	18
f2cfa3ac046310c6e6657a8c12b94877	1,872	5
978ef4ac703ddd1093afdb5f179c1ae2	1,775	4
93d825b3bd7148e2ec95b2f7122dae07	1,617	22
f220bd835750e4153d17d1b1d0616684	1,555	2
01b4e921ee205c1ec9522302deab606b	1,439	6
