Parapercis colias
Pseudophycis bachus
Auchenoceros punctatus
Argentina australiae
Hemerocoetes monopterygius
Hemerocoetes artus
Sprattus antipodum
Nototodarus sloani
Thyrsites atun
Seriolella brama
Merluccius australis
Macruronus novaezelandiae
Nyctiphanes australis
Geotria australis
Lampanyctodes hectoris
Pelotretis flavilatus
Genypterus blacodes
Macroctopus maorum
Maurolicus muelleri
Lotella rhacina
Hippocampus abdominalis
Anguilla australis
Seriolella punctata
Retropinna retropinna
Peltorhamphus novaezeelandiae
Kathetostoma giganteum
Sprattus muelleri
Forsterygion lapillum
Nemadactylus macropterus
Gonorynchus gonorynchus
Scorpaena cardinalis
Helicolenus percoides
Moroteuthis ingens
Meuschenia scaber
Grahamina nigripenne
#Cephalopoda squilid
Grahamichthys radiata
Stigmatopora macropterygia
Sepioloidea pacifica
Lissocampus filum
Tewara cranwellae
Gnathophis habenatus
Thaliacea sp.
Heterosquilla sp.
