,in database,Other species in genus in database,,Notes,name in my database
Parapercis colias,Yes,,,,
Pseudophycis bachus,Yes,,,,
Auchenoceros punctatus,,No,,,
Argentina elongata,,Yes,,Note: only of the genus in our species ( also NZ?),
Hemerocoetes monopterygius,,No,,,
Hemerocoetes artus,,No,,,
Sprattus antipodum,Yes,,,,
Nototodarus sloani,Yes,,,,
Thyrsites atun,Yes,,,,
Seriolella brama,Yes,,,,
Merluccius australis,Yes,,,,
Macruronus novaezelandiae,Yes,,,,
Nyctiphanes australis,Yes,,,,
Geotria australis,Yes,,,,
Lampanyctodes hectoris,Yes,,,,
Pelotretis flavilatus,Yes,,,,
Genypterus blacodes,Yes,,,,
Macroctopus maorum,Yes,,,,
Maurolicus muelleri,Yes,,,,
Lotella rhacina,Yes,,,,
Hippocampus abdominalis,Yes,,,,
Anguilla australis,Yes,,,,
Seriolella punctata,Yes,,,,
Retropinna retropinna,Yes,,,,
Peltorhamphus novazealandiae,Yes,,,,
Kathestoma giganteum,Yes,,,,
Sprattus muelleri,Yes,,,,
Forsterygion lapillum,Yes,,,,
Nemadactylus macropterus,Yes,,,,
Gonorynchus gonorynchus,Yes,,,,
Scorpaena cardinalis,Yes,,,,
Helicolenus percoides,Yes,,,,
Moroteuthis ingens,Yes,,,,
Parika scaber,Yes,,,,as : Meuschenia scaber
Grahamina nigripenne,,Yes,,Note: only of the genus in our species ( also NZ?),
Cephalopoda squilid,,,,???,
Grahamichtys radiata,,No,,Note: only of the genus in our species ( also NZ?),
Stigmatophora macropterygia,,,,misspelled originally,as :Stigmatophra macropterygia
Sepioloidea pacifica,,No,,Note: only of the genus in our species ( also NZ?),
Tewara cranwellae,,No,,Note: only of the genus in our species ( also NZ?),
Lissocampus filum,,Yes,,Note: only of the genus in our species ( also NZ?),
Gnatophis habenatus,,Yes,,Note: only of the genus in our species ( also NZ?),
Thaliacea sp.,,No,,nope it is a tunicate.,
Heterosquilla sp.,Yes,,,,
