Frequency	# of Samples Observed In
6f9d35fa5526724e968f644c01af048d	518,205	184
1d29a111de64bb8a6f14f7091957a0f5	166,863	114
8582ae135b37292d1200b83db11cbed1	44,426	125
2e6f116b9dfb8eb621b1b807221e3da4	30,346	101
5a7a4fc00f7565d8613619cccdd68dbc	20,691	4
adc832e3a83c2c9fd7137087b0165266	19,487	48
5b3729dbb594d56719e9659b7106d3f1	17,289	31
86c8f0090e75db325a7d17fdaa28bf93	16,207	61
613cc9bfe7c9df42de27af3ee580589c	10,850	22
b1e124ce04383c1cbbd01501fa606f72	10,103	1
a1da86ecbe812f0e94a2d9f6cb6e5c68	9,418	1
b14dfe9db23cae4daf7531a606f2db36	8,016	10
800850174f67d4038df88d3e7ebb319f	7,983	26
97e414e6d8045093f461dfe2f5853ef6	5,838	1
2f212a105a900f70941a374af0d57abc	5,516	3
fc5faa34ddbd28f1e9bca9d0d8649895	5,244	45
4970ec74110a25bb5124d254e0b47f49	4,929	10
3988df78d434fd22dc3b294210b1df33	4,152	4
cc32af6be195714ee0f6ab1c8286a5e1	3,863	18
3a1d44b0b2015590a6e5fe8da2b0b3c9	3,376	8
4c69670a7fc01398ef5d0e147081d776	3,364	47
d78d40f052a283fd0bf7c7ec498724ad	3,252	3
5126df9d0cc6bbdb8b15deb79118876d	3,231	20
6ab8793a10901719457aeed65192f01a	2,888	8
c756b076f6b56f53bc62836842ccaabc	2,823	5
8fadc938e2004e6ecca776a62a5473d2	2,417	51
c4c51d3cd7b58f90c020bc2e0ed9f56b	2,227	11
03ae4c043dbc08c54232609e11376218	2,168	10
07b14e2b1e122d735215206296bfa997	2,136	7
d5e8e1cefbd72b12edc9032dd46eb388	2,061	6
740c1040b66230adb166e8581a136cc9	1,978	15
f94c395742caae68d47cb44c7f11b7fa	1,906	33
1236974466051b0ac41c1947225aa99b	1,815	7
c30f2b819ae5b3a133539ee0b231b9ea	1,693	9
0fe2114473dacdc8ce361cd6faf0fe4e	1,632	2
4b4aeb02902bd1471be3d0a7616bc2a9	1,400	8
0a6bfd3d9511d3c48af7323cfea8dbae	1,381	3
b05b09047c44aa7ba9c8b20bb977746c	1,342	1
78a7e00e561d0701131d0ab450dcfd93	1,073	2
1a438206f5ee301afe55393d25a92170	1,028	10
4b1fdd0e585ec3dca9086407dd7bf9e8	982	1
3f8287e4d64ccb35a3adc0e3dc6b3404	958	10
be645bf1beaa98f29608842b15f2a9b6	941	5
d30629be864fb855d858da1534159f9d	873	1
9b491f58612c9efe2f79e44b94109f5c	868	1
97df13f5e0f8d184aa71abccdf4c66ae	854	1
5e5565c518b83ae700509f33292a39cb	827	4
44ad5ac1c57a6633e6311e3c467cb0c2	794	2
b71e8549dbd33fc3af27ccbc0d82dc71	749	5
3b8a9bb45c30aa450c12f258c3aa3257	722	2
f0efeb544afa1e2f82ea72700502f7e2	721	1
d8f1cb263a65aae4d9e5dedd70e98445	709	4
609165266aadbad03efb9e66c025ac2a	695	1
fd46d596ccefaf14b9900f9b77e398e9	688	1
3ef79061b627db0c5338aedeefd29923	685	4
f2831ee2f7425856b9f7318f225f63b6	681	1
c66c28fc2b8cf9f1d363c953e49ad9fc	678	1
0d10be620743f57c76b062f3d4de390e	676	10
90f75e1e1afe902f72887248fb46ed26	655	2
cb04995a987719c5cc85927c741a668e	635	2
0259992a332d2cce69f0576d1e454d62	619	6
fcbd622f43cd365fee865ba5a93f915e	616	4
b4fbcb44b148b2a9579b78f3e609f8a7	611	5
dc72a8729ac8d3b93f25f1613b56eb1a	609	1
8fd8762686cd0cb46484e4b753353e4e	603	3
1a63c211f864eb061b1b6506aa651717	586	2
981a11d681183a10149e5cf0306265bb	586	10
c677bf9e6e21c5fb027902f3bb49f85d	585	2
229601e620c77e1a320f2753c0e1f3d9	572	1
d284bf26aa8eb4b0140f0e209701149c	546	1
9cf46dceeee2953ba24f5e0802056729	539	1
6930e78eabb827c3fe593d1ea054cfcb	534	1
a73e4c28a86af7858de2a7dda99b1026	532	1
6f5d64240122baa26df2c37c752b839f	527	2
cefbb3b9d762d0f5316d237c90ee05bf	513	1
5716ec082007dc828c52f37f414425eb	510	1
32d436343ef5911e861b0ef373ae9edc	500	1
f0fd22262eaa9572afc9b5ee5a2aa1a5	488	3
1309700114a2dd81d72d3162a0e2e793	485	2
7279e6509519ddbd996a698971998588	474	1
f75449a3212bb18f098b3fbf7ce0c6fd	470	3
b715f056744d9d802d90a7527b51b75e	467	1
4fad18ab5526acd399120f82f3fb5616	456	1
691ad7f3c4cff0270c6359c525e9ae81	440	4
36efcdf9c844fe52a005adf944cdc6d6	439	1
48098820f36501ea57524cfd57f63c4b	438	1
99cc83fd65f050f2f8b8e7ce22443e51	432	1
41818d331c0d3a62be6e3921ba80ce95	431	3
0793b851f55bc8813456db7b140dd553	423	5
5b40472c3f7391598efa144b240c2dc3	423	1
cbfe39ef9b1a6919008f292263ed15a5	421	2
5b5d5f6e03ea27fa8c5b1a39b4018d2a	420	1
1849d92234d15c415a31f51d9d69c39f	416	1
bc45bf7be54938c1b10a424acae9901c	411	3
6cd13ceb2bda73f59e2ebd8b53c21714	405	2
fe1afeaa6160fa707d17ac1cff16e36c	396	1
3ed3c3d007e76d4052a5f08f56132036	389	4
3a7cff95e73a2a216cf18bd61893190c	385	2
0b0a13eb07487c01a6d1a68a8648acc3	380	2
e6999ede99df1dfb4d5f3150059c3f1b	376	1
23c2e17ed9f94cdce7c7f0ffc0f32b1c	375	1
e20d6795ccb7b6bac5d386fcb302e2c0	373	1
c2605c28f7f74b4b7b5405e31c9027c4	369	1
e96426ea4e3a070554f6df92fc04a23b	360	3
c72c03ae580702c5b2fab8018337fbe0	357	2
9d2238844324853c2bf4731548ff0c20	356	1
d07adeffa9cbf11029601309d7a33854	343	1
2648a65bf6810697001a7094d0af749a	340	1
cdd8774fe878e7b948219d8d0d828eda	339	1
3b0aa0d5f9342c554afeaf90a4341018	336	1
428feccf310094a2679dc990f8736d08	335	1
98fd66e9c394074b890d6b97bcf96555	334	1
90146692768bda75b68b0a08fd5e875c	332	1
9778ad495aa1b40a64716a880bfcd0c0	324	1
b49b38773e1431155ab4db8e14f81c0e	324	1
437d40b6250df6a777f8799bcf4aa2d8	322	1
2224557d6e56e7c1b0a169fc316fc98e	321	2
