Frequency	# of Samples Observed In
34d9afb44d708599b384abccda05d7c2	1,939,288	216
4c070025880d0bc5fe41518baa1c6b9c	1,516,760	218
5486e48e8bfc87df9818fe298375ba07	356,865	198
29ef8783ad84ae40ced014fb251942f0	186,444	102
337b65e1fe6b7a954c5f74b559b0596a	163,212	128
2def36a960573ab1a95a9c42f0a1d9ce	152,181	184
d46d2e9bf05cc8107eb41b2fbf60d4c6	110,048	190
c1cb2d0399b67bb6f412b90537996aa0	95,790	77
3a0ff43e70c7c0c183b494da9f11823c	85,254	120
0c7a79d52391855466cf5c8302455079	85,147	72
79ecabc76d4903092fce1ebaf71f0b13	51,333	75
16b75f1345f39e205a6969f26e0930e8	51,130	145
638d63235d37f08c75a12eedf3439760	41,985	115
1d3c2f78d05244e90e246644b6488c1e	41,334	78
3ee77fd13ade92a3caf5d4b65a310f4e	35,644	23
82345931efcb867e9d982bbedeea63a5	25,252	22
37b16437771a2dc4d2fded6880e6afa7	13,599	27
98cea4c6c20df99d2f2b7dba00f64b3c	10,662	13
1996704c8b9c85074c08e59dc3f4786c	9,870	1
b745c78afab1e644b66ed6b24b9f6987	9,066	36
024e9a37475b89a8f767f948595db7a2	7,396	27
1f84e8ec5bde5fe9fd8ca5e1eccb287c	6,731	8
afb755e8ede58cb1ed5fa0bafd335ec9	6,648	19
0993464319c05d0c65dae4b9f1144d67	5,867	34
65920955ca4bd627f7a493c32eec4a13	5,498	2
e69c3c0f920524bcd8dba74141bce32d	5,155	34
83bda8eb0672a9716fae885dc7eaa487	4,613	31
986374d1e25c8200f0d1528f5aacb20b	4,160	19
ddee3b9cea20d6cbc093d8ce2ed0c495	3,721	1
75cbf228e11ab1e375ea6bee5abf0cf2	3,447	3
08702b04574f6ae3c84510e0f94183c4	3,299	24
850d29b66ec0b0b9817d4a6eba0d6260	3,265	31
f2676ef0e02d2e631d418489c9c68d3b	2,675	2
dc997c14d3f7d79fec291739d89fae38	2,416	8
a2142365331e28635c04794fbb5bead7	1,948	10
cd3157d327171653149eb0550be4f02d	1,900	21
ce281ac6d4a8713ae8c892d4ef667d6c	1,819	3
11d6c0e44e2a86968b2405877ef94472	1,699	6
b7dbc21bda4f738723ab413bd8783778	1,404	15
3d71ebba6e98147f336ab3bd5ffb831e	1,280	3
aab9e8c0c3e800500d82d117c8acf475	1,227	14
20e25afa5440656bbff6166fb5ffc772	1,166	14
dbbf7931131db31eb0bb1d5b48058689	1,034	12
43fdbf515af7c35a16715e92ff481df2	1,025	1
f4a0d16d98f3fb214739a424c1fb6bbf	1,000	8
a68ec79f890598fbc4204e208d9991f5	934	2
09f4bb3d47b2127007c38f8619bf62ff	906	1
8bcd774360359cebc55b0dfecbc02455	883	7
98343ad4e1f79efa4adc5e761b0436a1	785	4
f5306ee5eb3412568f2c778ab801c325	748	14
64b995f7568ffcd7638f05617de13c01	658	1
fc2c999db7aeb7ead8cfe8f8314b2342	646	6
11e0d1639fbd8aeab6f28560f62035cf	625	3
be30af23436cfb7ff80dc8d621652ff0	588	1
3197a4e9e9c82a17735a244e5e0e32f0	588	3
fe0d6c8c75ef6ea72d2a05396d6495ef	566	22
d3484f900c9430a6ad7b89c5b3599557	558	2
9152d78060573fae3b6bd8c50cf27dc1	552	2
721f66aca771b73ec5dade37ecfd640d	536	8
53dbc097ff3d09b0000ba703fc59a71b	506	15
40ec9ad0bc02209fa917f16dfa31981e	499	6
161bf8830d85afe50e462b269e70fd05	495	5
f88560406681485bfc6b5402907162a2	494	10
3a7d7b055912200bf680e95de05a02fe	481	2
9ace970d560f5f4d7d15777c4aea4c73	460	1
4c7f2172e75fdc1621175218b5d98bfa	448	1
eba5a8e7904736d1d99b62837f2a9efb	434	3
ad2e4e37a3d4b989cd218fe2578d7521	417	1
114a4b2f7b805e78a0a4631c3cd5b42c	410	6
2018b87e609ffb6b641f91f803c72f1c	405	2
105f18b24ce0825ded1ca96ba794eddd	399	1
1a3499ae2b4224d5069ea2ea78c20c4e	386	2
66038eac6a812fda14dcaf1fd53dd5f3	378	1
35f45421b23489a5d75dc5d84169ef4f	370	3
267f257490cc31324634b64d5adc6bd8	364	3
9b23d3bbb718f3560708f4a98e242b30	356	3
72b9e6e9609abeb74c01e575935cd00b	355	2
56396d761024c09e86b890467eaa64d8	352	1
0c20ee193a08b97f1647aad59990529f	344	1
9ad62c0288f1fede18a70306e8521962	343	2
1eb2d7430e6bba18c0e1e4d9822d58da	334	1
a9cc634295806f27d525c3e8de6896f3	308	1
21d36b266e22196da0b8e9c4fd7325dd	308	1
1d71592480011c778991cc2852be5145	293	4
a88e16a9fdc6c201b1ec54bc0fba31f5	292	1
e047c055e3ff58dab6f7fcd216ccaba5	292	1
ef389d36403359cf755245f430924db1	290	2
9c2204c579198288bd3632ffc31111b1	284	2
2ba8dd38fd5f98b7230b46438005e3af	284	1
ca1627ade9197807f0ec4f5e5bdd9e24	281	6
eb87d2c5ab91dc4dd7b573454bbc096b	273	5
9b6ca415e79664c1a72ab09b88e7dff8	271	1
862a5fe6dc0c1ee6e34c3ad497444924	270	2
a74104835d96960a561393cd84b2a810	269	1
940fa11a64d36280ff4a2c5fa519ca3c	264	7
f025978fa8641a4d6b6187549c99bc7e	255	1
3d0b613f23492ffe49c2cbabbeabe8e4	255	5
d612cdae76e876e860409f3f734bfa2f	254	1
50d92e645b2fc7ceb90fa88792c71c21	253	6
73378db331ffd2fd158d8095cb86b3f5	253	1
80ec1746d88041fd506acb3e878a5f7a	251	1
3302552d4b6677bb6d40ecb88f2598df	250	1
677fc9309d9ea825194c3ba06834017d	246	1
d5dd78156ea1609b77143555efaa96bd	245	1
e0a04dc68477ebb44a2d657b47025bb6	244	1
9a8aace9225400692ab21ee80e2626f4	243	3
85b4201616fb142f254d384903f0f483	239	2
0ff67e407df558c91c5da93bbb190974	239	4
07b956dec9e47299b1328f05226d8c90	234	8
d03b0b269b9e871e391636e5acd157a7	234	5
860c20f83a39e133c3139a80213acf8d	234	1
643720a320f4b4b08b45f25434d44545	230	3
4e570cef340526ac3dd32486824cb15f	228	1
79d670dbdc5c511eebb89cd5cd05678a	225	1
cc38584fabb175fd19cc1688459a0379	219	1
898d2a9ff6a49cc1eff6215a67513591	218	3
d6253307554425436301b306dde18790	215	1
229b06b26f97cb9c7b4e8b43db9ed13b	214	1
ff22ca5dbe81a300c2e2dee50b643b49	210	1
e2fa481214f54aeee0e872704a87d9a3	208	3
f8af9d31f285c846defc80be8af717c6	204	1
4ee70a8776263587e9f8d4778da5d12d	204	1
326ca6b21a0ab32ee6aeb9bbee20e9e2	202	1
dd7da49023b8058d918cdb5a7e9f278b	201	1
006b493da4d8259ccd0abcc308f8f29f	201	1
a994212beb0bcd2228473776f88b69bd	201	1
0dfff2d231aa1f84a84416c43075cd26	201	1
80e15ef03964fdd4a8ca8b18f07a1ff9	196	3
734287a528a412144b8c0cbaba677e30	193	1
a520cb89382c464646e242fc85fc75ee	191	7
237d30472f29d2ea224dea46bd7725bb	185	1
8f4f4df713cbadcbb7964c8fc55856e3	183	1
23fdebcdc1be1ee37ad1ad058acbe6ad	175	1
9bb2048edbc889ffc3e6f7aab1c11b0c	172	3
0e9f60ad48d09deeb1b413ec9e4dee49	172	2
1dfad8da1ed195a4c6530a0a7847fbe6	170	1
24500bdf79b6e2e255fac6f1f3f73e75	168	1
