sample.id,Mollusca.Cephalopoda.Octopoda.Argonautidae.Argonauta.Argonauta_nodosa,Mollusca.Cephalopoda.Octopoda.Octopodidae.Enteroctopus.Enteroctopus_megalocyathus,Mollusca.Cephalopoda.Octopoda.Octopodidae.Octopus.__,Mollusca.Cephalopoda.Teuthida.Octopoteuthidae.__.__,Mollusca.Cephalopoda.Teuthida.Ommastrephidae.Nototodarus.__,Mollusca.Cephalopoda.Teuthida.Onychoteuthidae.Moroteuthopsis.Moroteuthopsis.aff..ingens.HEB.2018,Mollusca.Cephalopoda.Teuthida.__.__.__,Date,Samplequality,Breedingregion,Breedinglocation,Nestnumber,IndividualID,Ageclass,Statusof_bird1617,Time,Sex
S100,0,0,0,0,14,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S101,0,0,0,0,0,0,0,12/05/17,Fresh,Otago_Peninsula,Otapahi,NA,982000405533774,Adult,Non-breeding,Post-moult,M
S103,0,0,0,31,0,0,0,10/12/16,Latrine,Catlins,Penguin_Bay,SQP7,NA,Chick,Breeding,Guard,U
S104,0,0,0,0,0,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S105,0,0,0,0,0,0,0,21/04/17,Latrine,North_Otago,Bobby's_Head,NA,NA,Adult,Unknown,Post-moult,U
S106,0,20,0,0,0,0,0,8/12/16,Latrine,Catlins,Long_Point,MY14,NA,Chick,Breeding,Guard,U
S107,0,0,0,0,0,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S108,0,93,0,0,10,0,0,18/04/17,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Adult,Unknown,Post-moult,U
S11,0,0,0,0,0,0,0,26/04/17,Fresh,Otago_Peninsula,Aramoana,BA1,982000056093670,Adult,Breeding,Post-moult,F
S111,0,0,0,0,350,0,0,22/04/17,Fresh,Otago_Peninsula,Aramoana,NA,19831,Adult,Non-breeding,Post-moult,M
S112,0,0,0,0,18,0,0,26/11/16,Fresh,Otago_Peninsula,Highcliff,MY4,20217,Adult,Breeding,Guard,F
S113,0,0,0,0,128,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S114,0,0,0,0,0,0,0,22/02/17,Fresh,Otago_Peninsula,Otapahi,OT4,982000063621423,Adult,Breeding,Pre-moult,M
S115,0,0,0,0,0,0,0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S116,0,0,0,0,0,0,0,26/04/17,Fresh,Otago_Peninsula,Aramoana,NA,982000405533966,Adult,Non-breeding,Post-moult,M
S117,0,0,0,0,18,0,0,28/04/17,Fresh,Otago_Peninsula,Aramoana,NA,982000405533676,Adult,Non-breeding,Post-moult,M
S119,0,0,0,0,154,0,0,26/11/16,Latrine,North_Otago,Katiki_Point,KP93,NA,Adult,Breeding,Guard,U
S12,0,0,0,0,0,0,0,20/02/17,Fresh,Otago_Peninsula,Otapahi,OT4,982000063621423,Adult,Breeding,Pre-moult,M
S120,0,0,0,0,11,0,0,20/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S121,0,0,0,0,0,0,187,17/07/17,Latrine,Otago_Peninsula,Otapahi,OT1,19725,Adult,Breeding,Post-moult,M
S125,0,0,0,0,272,0,0,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S128,0,0,0,0,0,0,0,10/12/16,Latrine,Catlins,Nugget_Point,SQP2,NA,Adult,Breeding,Guard,U
S13,0,0,0,0,0,0,0,31/01/17,Fresh,Catlins,Nugget_Point,BB4,NA,Adult,Breeding,Post-guard,U
S134,0,0,0,0,0,16,0,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Adult,Breeding,Guard,U
S136,0,0,66,0,40,0,0,6/06/17,Fresh,Catlins,Nugget_Point,BB4,982000402100702,Adult,Breeding,Post-moult,M
S137,0,19,0,0,0,0,0,6/06/17,Latrine,Catlins,Nugget_Point,NA,NA,Adult,Unknown,Post-moult,U
S138,0,0,44,0,0,0,0,17/06/17,Fresh,Catlins,Hina_Hina_Cove,NA,982000405533014,Adult,Non-breeding,Post-moult,M
